"Electric Vehicle Conference (IEVC), 2012 IEEE International",13
"Renewable and Sustainable Energy Conference (IRSEC), 2015 3rd International",13
"Smart Grid (SASG), 2015 Saudi Arabia",13
"Wireless Communications and Signal Processing (WCSP), 2011 International Conference on",13
"Energytech, 2012 IEEE",13
"Universities Power Engineering Conference (UPEC), 2017 52nd International",13
"SICE Annual Conference (SICE), 2011 Proceedings of",13
"Electrical, Electronics, and Optimization Techniques (ICEEOT), International Conference on",13
IEEE Electrification Magazine,13
"Smart Grid Conference (SGC), 2017",13
"Smart Grid Congress and Fair (ICSG), 2015 3rd International Istanbul",12
"Power Electronics Conference and 1st Southern Power Electronics Conference (COBEP/SPEC), 2015 IEEE 13th Brazilian",12
"Power Electronics and Applications (EPE''17 ECCE Europe), 2017 19th European Conference on",12
"Sciences and Techniques of Automatic Control and Computer Engineering (STA), 2016 17th International Conference on",12
"Globecom Workshops (GC Wkshps), 2015 IEEE",12
China Communications,12
IET Renewable Power Generation,12
"Computer and Information Technology; Ubiquitous Computing and Communications; Dependable, Autonomic and Secure Computing; Pervasive Intelligence and Computing (CIT/IUCC/DASC/PICOM), 2015 IEEE International Conference on",12
"Energy Internet (ICEI), IEEE International Conference on",12
"Smart Grids (ICSG), 2012 2nd Iranian Conference on",12
"IEEE Region 10 Symposium (TENSYMP), 2017",12
"Computer Science and Automation Engineering (CSAE), 2011 IEEE International Conference on",12
"Power Line Communications and its Applications (ISPLC), 2014 18th IEEE International Symposium on",12
"Smart Grid (SASG), 2016 Saudi Arabia",12
"Information and Automation (ICIA), 2011 IEEE International Conference on",12
"INFOCOM, 2014 Proceedings IEEE",12
"Internet of Things (WF-IoT), 2016 IEEE 3rd World Forum on",12
"Communications (ICC), 2013 IEEE International Conference on",12
"Power and Energy (PECon), 2012 IEEE International Conference on",12
"Control Systems and Computer Science (CSCS), 2017 21st International Conference on",12
IEEE Transactions on Consumer Electronics,12
"Advanced Communication Technology (ICACT), 2016 18th International Conference on",12
"Intelligent Human-Machine Systems and Cybernetics (IHMSC), 2017 9th International Conference on",12
"Power Line Communications and Its Applications (ISPLC), 2011 IEEE International Symposium on",12
Proceedings of the IEEE,12
"Technologies for Sustainability (SusTech), 2014 IEEE Conference on",11
"Modeling and Simulation of Cyber-Physical Energy Systems (MSCPES), 2013 Workshop on",11
"Industrial Electronics (ISIE), 2016 IEEE 25th International Symposium on",11
"Multi-Topic Conference (INMIC), 2016 19th International",11
"New Concepts in Smart Cities: Fostering Public and Private Alliances (SmartMILE), 2013 International Conference on",11
"Intelligent System Application to Power Systems (ISAP), 2011 16th International Conference on",11
"Asia-Pacific Power and Energy Engineering Conference (APPEEC), 2017 IEEE PES",11
"Power System Technology (POWERCON), 2016 IEEE International Conference on",11
"Power and Energy Engineering Conference (APPEEC), 2014 IEEE PES Asia-Pacific",11
